Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Area Population,size,Price
4996.3209507789,2.6170568373590597,4,6825.704496796035,184.0226255632479,2072152.6229050327
9605.71445127933,2.469787990719998,7,2637.72058549828,155.1511129594912,2630257.085365357
7855.951534491241,9.062545805210366,7,7464.914285784373,160.28642183803373,2502929.879056911
6789.267873576293,2.495461998495061,5,9460.533669647688,95.15401671014827,1925007.5355439205
3248.1491235394924,2.71949726128631,9,6605.322023979357,193.49317966956164,2289754.827444736
3247.956162689621,7.593982624179637,6,3008.9225790032847,95.90888929813788,423768.6367150489
2464.6688973455957,4.4973984245054,7,6653.772219787814,172.9607524618158,1663258.6793513587
8929.409166199483,7.767105569551812,6,8130.777704837219,111.77795861339825,2236840.7295051133
6808.9200939456705,0.6536615756438524,3,5251.332292592149,192.03117724415017,2365675.0207600873
7664.580622368364,4.875711936733843,8,9038.701983531742,166.39514472433754,2980280.1512457402
2164.67595436642,0.3361360018328263,9,7189.463626858916,170.45764555740428,2022933.2243164564
9759.278817295955,0.6265320345535452,6,9193.99134631362,106.28710076718599,2776711.2267521443
8659.541126403374,9.06437453344411,4,6988.042489978698,133.1647971962193,2025742.3759328416
3698.712885426209,1.3924537111759516,8,3050.303776038594,154.13758335071435,1582406.787169354
3454.599737656805,5.324206822752171,4,4477.533688841513,172.3968341847921,1293369.3705927338
3467.2360788274705,4.110956026007066,7,3614.3595860196556,92.47512510948675,820851.8411000944
4433.937943676302,3.4734332625884266,8,9270.611981734899,195.4838379745434,2694834.850230364
6198.051453057903,8.998333456872725,6,8083.200538299861,186.82648046654674,2349466.9615029544
5455.560149136926,0.218233967754895,8,7411.186951280049,112.44183085947012,2044876.3732055444
4329.8331215843355,6.637896861755891,7,4407.730557052973,178.73122916387985,1761395.1167438757
6894.823157779036,9.633944342135504,5,3472.358176401708,142.1988707647788,1468901.6888422878
3115.9508852163344,5.60168183461842,9,8051.6087039112945,135.41677778744224,1712368.6783102918
4337.157188281745,9.368224620330919,4,5793.263567032637,117.73209269736864,840080.8227912374
4930.894746349533,0.5225787928602377,7,3806.316417205033,149.71623039579111,1863157.1761338608
5648.559873736287,4.187933190741614,5,6932.975825322201,167.58669412443174,2093156.553252304
8281.407691144108,2.6015779096205116,8,2322.6708171076157,129.311948595531,2162491.1211098945
3597.3902572668776,7.3082096498072975,8,4609.362033026028,155.50630316099506,1460644.5628792294
6113.875507308893,9.812970904972467,7,5748.455956729077,163.91755053863645,1965443.3893273603
6739.316550896339,2.565300624442478,6,3183.666672875247,165.3346180418343,2087455.3405308155
2371.6033017599816,6.5417460147407445,8,9877.235820726717,86.23593177574163,1101479.54714745
6860.358815211507,1.9809763275974013,6,3672.778916716914,183.16973668220803,2358001.6139983963
3364.1929894983323,5.653302545716099,6,3042.8250403461243,134.99039777180576,929405.9779704995
2520.412743882236,4.639324866883362,9,3628.2789910951715,111.48992980354573,960166.5821740469
9591.084298026666,9.72005329631537,6,8152.489065277794,109.0117408975618,2230926.4078398515
9725.056264596475,6.085272726964666,3,5404.045274174743,137.96169354127406,2147961.7330887103
8467.17878493169,3.495063720868188,9,6523.3275180203045,186.41978473627512,3225565.4199773036
4436.910153386965,1.1409578488793337,5,2168.073255890886,125.40170980191763,1111642.8579174527
2781.376912051071,1.5124682873493456,5,2275.4504685865163,169.9670896140252,1198432.3431235966
7473.864212097255,2.2531692995123507,8,5566.604398616129,91.61824771846624,1953192.4705160758
5521.219949916811,2.50966661340298,8,8533.241945612988,137.1268042581274,2303578.3127100924
2976.3058787582304,8.506160578411379,6,9081.911029660521,199.00233684712828,1939407.3849782571
5961.415280890162,5.612227882825249,9,2693.6525407651216,172.45253633508042,2083495.3833834836
2275.108168921747,5.233909113743664,9,6306.904816808183,105.26341861287356,1081695.0142454333
9274.563216630257,1.1476887186921747,3,9305.837490234164,140.17297684374927,2718786.284435061
4070.2398528001354,8.60139693349435,6,5103.782035183091,108.034971637828,890556.9174511046
7300.178274831856,7.228143032084837,3,8636.52665142695,129.1473112715011,1868256.387783593
4493.688608715287,0.6766836190000158,6,3069.5652351954895,173.61008284819576,1818748.422789895
6160.544169422486,7.078350972297686,4,9483.155917342388,172.54697783484843,2279273.2321620258
6373.682234746238,5.4353821734264605,4,8011.386540250422,107.3720453482862,1576580.1058696806
3478.8356442042164,0.8172534574677826,7,9530.675142295215,190.66679817858324,2524373.1808713647
9756.67702211647,4.583006415286564,6,7412.937868420052,151.1081819317792,2865794.675169822
8201.062586888916,4.8469628713004695,9,4907.231455995416,125.59091491544174,2381282.2172597507
9515.991532513512,1.6577454016327575,8,9505.44938019778,140.23226969370327,3302933.1761644166
9158.618803421192,9.456981470002823,5,4204.534210473428,152.60855041252924,2105591.8188744998
6783.199830488681,8.49975371480662,7,4657.38017649386,147.18686382149426,1875057.7296703123
9374.993880184935,6.690223373291083,8,7606.467344013922,138.3686042643414,2805209.848407712
2707.940016415356,4.622955610006072,4,8122.53039620309,140.59193649072802,1226405.5347381448
3567.8628993531615,4.1176554158450855,6,9435.227870793231,101.16942925134634,1353057.527609169
2361.8183112843044,6.509734671509541,7,3638.419272449676,177.52794851656154,1299108.18735707
4602.642646106115,5.4543186940690545,6,8383.984281753792,145.01123839292183,1837499.9953136225
5109.418317515856,0.6227310588188562,4,7908.368427175707,95.72958340456437,1441624.7040701215
4170.792254191167,5.125026487703317,7,2510.356450028783,171.93885218993336,1535817.2232092596
8629.900073215435,8.064036172328395,4,5097.785129681655,191.8932774052821,2425724.4108222025
